Date,Open,High,Low,Close,Adj Close,Volume,Company
07-08-2017,80.57,81.449997,80.540001,81.279999,73.924469,5484500,WLMART
08-08-2017,81.169998,81.860001,80.900002,81.589996,74.206398,7381400,WLMART
09-08-2017,81.110001,81.989998,80.900002,81.610001,74.691475,6606500,WLMART
10-08-2017,81.07,81.400002,80.550003,80.660004,73.822006,8045000,WLMART
11-08-2017,80.730003,81.25,80.360001,80.400002,73.584038,7905500,WLMART
14-08-2017,80.589996,81.239998,80.5,80.699997,73.85862,7792000,WLMART
15-08-2017,80.830002,81.400002,80.540001,80.769997,73.922691,7066100,WLMART
16-08-2017,81.269997,81.440002,80.540001,80.980003,74.114868,11536000,WLMART
17-08-2017,78.849998,79.809998,78.330002,79.699997,72.943375,17293700,WLMART
18-08-2017,79.620003,80.349998,79.279999,79.309998,72.586449,9753000,WLMART
21-08-2017,79.120003,80.07,78.790001,79.709999,72.952538,9613900,WLMART
22-08-2017,79.800003,80.160004,79.709999,80.019997,73.236267,6546100,WLMART
23-08-2017,80.349998,80.559998,79.879997,79.959999,73.181343,7799300,WLMART
24-08-2017,80.610001,80.879997,77.849998,78.339996,71.698669,19128000,WLMART
25-08-2017,78.5,79.089996,78.480003,78.629997,71.964096,9902200,WLMART
28-08-2017,78.410004,78.459999,77.860001,78.029999,71.41497,8621500,WLMART
29-08-2017,77.669998,78.980003,77.5,78.769997,72.092216,7665200,WLMART
30-08-2017,78.82,79.099998,78.519997,78.540001,71.881721,5829800,WLMART
31-08-2017,78.599998,78.75,78.059998,78.07,71.451584,8194800,WLMART
01-09-2017,78.309998,78.5,78.209999,78.370003,71.726143,6474400,WLMART
05-09-2017,77.949997,79.889999,77.900002,79.800003,73.034912,12068500,WLMART
06-09-2017,79.879997,80.400002,79.720001,80.080002,73.291176,8426100,WLMART
07-09-2017,80.32,80.760002,80,80.120003,73.327797,6820800,WLMART
08-09-2017,79.739998,79.879997,77.730003,78.879997,72.192886,9999600,WLMART
11-09-2017,79.150002,79.349998,78.660004,79.080002,72.375938,7000200,WLMART
12-09-2017,79.300003,79.910004,79.169998,79.610001,72.861023,6005000,WLMART
13-09-2017,79.610001,80.68,79.589996,79.860001,73.089828,8823700,WLMART
14-09-2017,79.790001,79.82,79.220001,79.68,72.925079,6939300,WLMART
15-09-2017,79.809998,80.75,79.269997,80.379997,73.565742,13317800,WLMART
18-09-2017,80.209999,81.120003,79.949997,80,73.217934,8176100,WLMART
19-09-2017,80.18,80.459999,79.699997,80.050003,73.263718,6174400,WLMART
20-09-2017,80.169998,80.559998,79.870003,80.5,73.675583,5318200,WLMART
21-09-2017,80.57,80.57,79.720001,80.010002,73.227104,6430300,WLMART
22-09-2017,79.889999,80.080002,79.25,79.529999,72.787796,5755300,WLMART
25-09-2017,78.919998,80.099998,78.860001,79.150002,72.44001,8547800,WLMART
