Date,Open,High,Low,Close,Adj Close,Volume,Company
26-10-2017,110.379997,110.739998,109.669998,109.800003,106.490852,7380100,VISA
27-10-2017,110.07,110.129997,108.690002,109.709999,106.403564,7862700,VISA
30-10-2017,109.669998,110.239998,108.919998,110.040001,106.723618,5148600,VISA
31-10-2017,110.580002,110.690002,108.660004,109.980003,106.665405,8002500,VISA
01-11-2017,110.5,111.400002,110.419998,111.07,107.72258,6167300,VISA
02-11-2017,111.019997,111.370003,110.199997,110.980003,107.6353,5506600,VISA
03-11-2017,110.940002,111.419998,110.510002,111.360001,108.00383,3757600,VISA
06-11-2017,111.360001,112.150002,111.199997,111.919998,108.546951,4094700,VISA
07-11-2017,112.25,112.470001,111.559998,112.089996,108.71183,3697900,VISA
08-11-2017,112.010002,112.910004,111.82,112.470001,109.080391,4417800,VISA
09-11-2017,111.800003,112.220001,110.93,112.139999,108.760338,4334700,VISA
10-11-2017,111.709999,111.980003,111.279999,111.879997,108.508156,4198900,VISA
13-11-2017,111.550003,111.860001,111.339996,111.400002,108.042625,7185600,VISA
14-11-2017,111.080002,112.040001,110.809998,111.980003,108.605141,5679600,VISA
15-11-2017,111.339996,111.870003,110.139999,110.25,106.927284,6895100,VISA
16-11-2017,110.75,111.440002,110.57,111.019997,107.864838,5655100,VISA
17-11-2017,110.690002,110.910004,109.699997,109.82,106.698967,8812400,VISA
20-11-2017,109.949997,110.68,109.690002,109.949997,106.825256,6873200,VISA
21-11-2017,110.449997,111.489998,110.300003,111.449997,108.282639,6456500,VISA
22-11-2017,111.5,111.660004,110.699997,110.82,107.670532,4067600,VISA
24-11-2017,111.309998,112.160004,111.139999,111.970001,108.787872,3045600,VISA
27-11-2017,112,112.540001,111.910004,112.379997,109.186195,6620500,VISA
28-11-2017,112.599998,113.620003,112.559998,113.360001,110.138367,6671300,VISA
29-11-2017,113.620003,113.620003,106.900002,109.860001,106.737823,14505400,VISA
30-11-2017,110.5,112.589996,110.029999,112.589996,109.390236,18533300,VISA
01-12-2017,112.379997,112.440002,109.760002,110.730003,107.583122,13101800,VISA
04-12-2017,111.330002,111.449997,106.970001,107.43,104.376892,18909100,VISA
05-12-2017,108.889999,109.239998,106.599998,108.580002,105.494209,12081500,VISA
06-12-2017,108.489998,110.169998,108.260002,109.739998,106.621246,7532100,VISA
07-12-2017,109.769997,111.410004,109.449997,111.400002,108.234062,7384900,VISA
08-12-2017,112.129997,112.610001,111.82,112.599998,109.399971,7594900,VISA
11-12-2017,112.5,113.349998,112.160004,112.370003,109.176498,7538600,VISA
12-12-2017,112.370003,113.730003,112,113.459999,110.235519,8754400,VISA
13-12-2017,113.75,114.370003,113.190002,113.309998,110.089783,8088900,VISA
14-12-2017,113.550003,114.089996,112.919998,112.919998,109.710854,9815600,VISA
15-12-2017,113.970001,114.199997,112.389999,113.82,110.585281,16388000,VISA
18-12-2017,114.690002,114.75,113.25,113.550003,110.322975,8961800,VISA
19-12-2017,113.279999,113.279999,112.080002,112.139999,108.953041,7899400,VISA
20-12-2017,112.720001,113.099998,111.989998,112.120003,108.933609,6201900,VISA
21-12-2017,112.599998,113.099998,112.32,112.410004,109.21537,8866400,VISA
22-12-2017,112.389999,113.110001,112.25,112.690002,109.487411,6190100,VISA
26-12-2017,112.07,113.440002,112.07,112.989998,109.77887,3948900,VISA
27-12-2017,112.690002,114.07,112.650002,114.019997,110.779602,7073100,VISA
28-12-2017,114.300003,114.919998,113.989998,114.349998,111.100235,6937100,VISA
29-12-2017,114.75,114.889999,114.019997,114.019997,110.779602,5249000,VISA
02-01-2018,114.57,115.080002,113.949997,114.510002,111.255676,6080900,VISA
03-01-2018,114.949997,115.790001,114.660004,115.650002,112.363281,6946100,VISA
04-01-2018,116.25,117.360001,116.029999,116.080002,112.781067,7805300,VISA
05-01-2018,116.989998,119,116.419998,118.860001,115.482056,8590500,VISA
08-01-2018,118.610001,120.480003,118.07,119.339996,115.948425,6660700,VISA
09-01-2018,119.970001,119.970001,118.660004,119.110001,115.724937,6562400,VISA
10-01-2018,118.690002,119.050003,117.459999,118.980003,115.598656,7490300,VISA
11-01-2018,118.800003,119.980003,118.68,119.839996,116.434212,5982100,VISA
12-01-2018,120.120003,120.349998,119.709999,120.089996,116.677116,5585800,VISA
