Date,Open,High,Low,Close,Adj Close,Volume,Company
07-08-2017,72.800003,72.900002,72.260002,72.400002,67.813744,18705700,M-SOFT
08-08-2017,72.089996,73.129997,71.75,72.790001,68.179039,22044600,M-SOFT
09-08-2017,72.25,72.510002,72.050003,72.470001,67.879303,22213400,M-SOFT
10-08-2017,71.900002,72.190002,71.349998,71.410004,66.886467,24734500,M-SOFT
11-08-2017,71.610001,72.699997,71.279999,72.5,67.90741,21443700,M-SOFT
14-08-2017,73.059998,73.720001,72.949997,73.589996,68.92836,20096600,M-SOFT
15-08-2017,73.589996,73.589996,73.040001,73.220001,68.947189,19181400,M-SOFT
16-08-2017,73.339996,74.099998,73.169998,73.650002,69.352112,18150400,M-SOFT
17-08-2017,73.580002,73.870003,72.400002,72.400002,68.175041,22977500,M-SOFT
18-08-2017,72.269997,72.839996,71.93,72.489998,68.259796,18761500,M-SOFT
21-08-2017,72.470001,72.480003,71.699997,72.150002,67.939629,17734800,M-SOFT
22-08-2017,72.349998,73.239998,72.349998,73.160004,68.890678,14343700,M-SOFT
23-08-2017,72.959999,73.150002,72.529999,72.720001,68.476379,13766500,M-SOFT
24-08-2017,72.739998,72.860001,72.07,72.690002,68.44812,17098300,M-SOFT
25-08-2017,72.860001,73.349998,72.480003,72.82,68.570534,12794300,M-SOFT
28-08-2017,73.059998,73.089996,72.550003,72.830002,68.579933,14569700,M-SOFT
29-08-2017,72.25,73.160004,72.050003,73.050003,68.787117,11478400,M-SOFT
30-08-2017,73.010002,74.209999,72.830002,74.010002,69.691086,16897800,M-SOFT
31-08-2017,74.029999,74.959999,73.800003,74.769997,70.406731,27652800,M-SOFT
01-09-2017,74.709999,74.739998,73.639999,73.940002,69.625175,21736200,M-SOFT
05-09-2017,73.339996,73.889999,72.980003,73.610001,69.314423,21556000,M-SOFT
06-09-2017,73.739998,74.040001,73.349998,73.400002,69.116669,16535800,M-SOFT
07-09-2017,73.68,74.599998,73.599998,74.339996,70.001839,17471200,M-SOFT
08-09-2017,74.330002,74.440002,73.839996,73.980003,69.662849,14703800,M-SOFT
11-09-2017,74.309998,74.940002,74.309998,74.760002,70.397346,17910400,M-SOFT
12-09-2017,74.760002,75.239998,74.370003,74.68,70.321991,14394900,M-SOFT
13-09-2017,74.93,75.230003,74.550003,75.209999,70.821068,13380800,M-SOFT
14-09-2017,75,75.489998,74.519997,74.769997,70.406731,15733900,M-SOFT
15-09-2017,74.830002,75.389999,74.07,75.309998,70.91523,38578400,M-SOFT
18-09-2017,75.230003,75.970001,75.040001,75.160004,70.773987,23307000,M-SOFT
19-09-2017,75.209999,75.709999,75.010002,75.440002,71.037659,16093300,M-SOFT
20-09-2017,75.349998,75.550003,74.309998,74.940002,70.566818,21587900,M-SOFT
21-09-2017,75.110001,75.239998,74.110001,74.209999,69.879417,19186100,M-SOFT
22-09-2017,73.989998,74.510002,73.849998,74.410004,70.067749,14111400,M-SOFT
25-09-2017,74.089996,74.25,72.919998,73.260002,68.984848,24149200,M-SOFT
26-09-2017,73.669998,73.809998,72.989998,73.260002,68.984848,18019600,M-SOFT
27-09-2017,73.550003,74.169998,73.169998,73.849998,69.540413,19565100,M-SOFT
28-09-2017,73.540001,73.970001,73.309998,73.870003,69.559273,10883800,M-SOFT
29-09-2017,73.940002,74.540001,73.879997,74.489998,70.143089,17079100,M-SOFT
02-10-2017,74.709999,75.010002,74.300003,74.610001,70.256081,15304800,M-SOFT
03-10-2017,74.669998,74.879997,74.190002,74.260002,69.926506,12190400,M-SOFT
04-10-2017,74.089996,74.720001,73.709999,74.690002,70.331413,13317700,M-SOFT
05-10-2017,75.220001,76.120003,74.959999,75.970001,71.536728,21195300,M-SOFT
06-10-2017,75.669998,76.029999,75.540001,76,71.564972,13959800,M-SOFT
09-10-2017,75.970001,76.550003,75.860001,76.290001,71.838036,11386500,M-SOFT
10-10-2017,76.330002,76.629997,76.139999,76.290001,71.838036,13944500,M-SOFT
11-10-2017,76.360001,76.459999,75.949997,76.419998,71.960457,15388900,M-SOFT
12-10-2017,76.489998,77.290001,76.370003,77.120003,72.619621,16876500,M-SOFT
13-10-2017,77.589996,77.870003,77.290001,77.489998,72.968018,15335700,M-SOFT
16-10-2017,77.419998,77.809998,77.349998,77.650002,73.118683,12380100,M-SOFT
17-10-2017,77.470001,77.620003,77.25,77.589996,73.062172,16824000,M-SOFT
18-10-2017,77.669998,77.849998,77.370003,77.610001,73.081009,13300700,M-SOFT
19-10-2017,77.57,77.93,77.349998,77.910004,73.363495,15092800,M-SOFT
20-10-2017,78.32,78.970001,78.220001,78.809998,74.210983,22866400,M-SOFT
23-10-2017,78.989998,79.339996,78.760002,78.830002,74.229813,20627200,M-SOFT
24-10-2017,78.900002,79.199997,78.459999,78.860001,74.258072,17517200,M-SOFT
25-10-2017,78.580002,79.099998,78.010002,78.629997,74.041489,20410800,M-SOFT
26-10-2017,79.199997,79.419998,78.75,78.760002,74.163895,32120700,M-SOFT
27-10-2017,84.370003,86.199997,83.610001,83.809998,78.919212,71066700,M-SOFT
30-10-2017,83.699997,84.330002,83.110001,83.889999,78.994545,31756700,M-SOFT
31-10-2017,84.360001,84.360001,83.110001,83.18,78.325974,27086600,M-SOFT
01-11-2017,83.68,83.760002,82.879997,83.18,78.325974,22307400,M-SOFT
02-11-2017,83.349998,84.459999,83.120003,84.050003,79.145195,23992900,M-SOFT
03-11-2017,84.080002,84.540001,83.400002,84.139999,79.229935,17633500,M-SOFT
06-11-2017,84.199997,84.699997,84.080002,84.470001,79.540688,19860900,M-SOFT
07-11-2017,84.769997,84.900002,83.93,84.269997,79.352364,17939700,M-SOFT
08-11-2017,84.139999,84.610001,83.830002,84.559998,79.625435,18034200,M-SOFT
09-11-2017,84.110001,84.269997,82.900002,84.089996,79.182861,21178400,M-SOFT
10-11-2017,83.790001,84.099998,83.230003,83.870003,78.975708,19397800,M-SOFT
13-11-2017,83.660004,83.940002,83.459999,83.93,79.032204,14196900,M-SOFT
14-11-2017,83.5,84.099998,82.980003,84.050003,79.145195,18801300,M-SOFT
15-11-2017,83.470001,83.690002,82.690002,82.980003,78.530045,19383100,M-SOFT
16-11-2017,83.099998,83.419998,82.940002,83.199997,78.738258,20962800,M-SOFT
17-11-2017,83.120003,83.120003,82.239998,82.400002,77.981155,22079000,M-SOFT
20-11-2017,82.400002,82.589996,82.25,82.529999,78.104179,16315000,M-SOFT
21-11-2017,82.739998,83.839996,82.739998,83.720001,79.23037,21237500,M-SOFT
22-11-2017,83.830002,83.900002,83.040001,83.110001,78.653091,20553100,M-SOFT
24-11-2017,83.010002,83.43,82.779999,83.260002,78.795044,7425600,M-SOFT
27-11-2017,83.309998,83.980003,83.300003,83.870003,79.372337,18265200,M-SOFT
28-11-2017,84.07,85.059998,84.019997,84.879997,80.328163,21926000,M-SOFT
29-11-2017,84.709999,84.919998,83.18,83.339996,78.870743,27381100,M-SOFT
30-11-2017,83.510002,84.519997,83.339996,84.169998,79.656235,33054600,M-SOFT
